Promo_Year,Region,Country,Category,Macro_Category,Brand,Week,Sales_Units,Price,Promotion,Start_Seas,End_Seas,Seasonality,Predicted_Sales,Baseline_Sales,Incremental_Sales,PromoID,Promo_Days,Half_Year,Promotion_Status,Event_Count,Planned_Event_Count,Start_Prom,End_Prom,Actual_Promo_Sales_Volume_Uplift,Planned_Promo_Sales_Volume_Uplift,Sales_Value,Baseline_Sales_Value,Actual_Promo_Sales_Value,Planned_Promo_Sales_Value,Actual_Promo_Sales_Value_Uplift_PromoID_%,Planned_Promo_Sales_Value_Uplift_PromoID_%,Actual_Promo_Sales_Value_Uplift_%,Planned_Promo_Sales_Value_Uplift_%,Actual_Sales_Value,Actual_Event_Spent,Planned_Event_Spent,COGS,Gross_Profit,Planned_Gross_Profit,ROI%_PromoID,Baseline_Value,Planned_iGP,Planned_ROI%_PromoID,ROI%,Planned_ROI%,Actual_Gross_Margin_PromoID_%,Planned_Gross_Margin_PromoID_%,Actual_Gross_Margin_%,Planned_Gross_Margin_%,Listing_Price,Incremental_Sales_Adjusted,Incremental_TO,Actual_Total_TO,Planned_Total_TO,Actual_Gross_Sales_Value,Planned_Gross_Sales_Value,Actual Net Promo Incr Volume (Units),Actual_RAG,Planned_RAG,Planned_Red,Planned_Amber,Planned_Green,Actual_Red,Actual_Amber,Actual_Green,Channel_Customer,ProductDescription,Packsize
,Europe,France,Foods,Snacks,A,11-03-2024,106,5.66,,25-03-2024,10-06-2024,0,100.2483333,100.2483333,0,FPAP2928,0,,No Promotions,,,"","",5.751666700000001,0.0,599.96,567.405566478,599.96,567.405566478,5.74,0.0,,,599.96,0.0,0.0,3.66,212.0,1.546448087431694,54.64,567.405566478,200.49666659999997,35.34,,,35.34,35.34,,,6.43,0,0.0,599.96,567.405566478,681.5799999999999,644.596783119,-100.2483333,NA,GREEN,0,0,1,0,0,0,Customer 2,CLEAR MEN TAURINE+TRIPLE ANTI DAN.TECH.DEEP CLEANSE BLACK PU.,390 ML
,Europe,France,Foods,Snacks,A,18-03-2024,96,7.92,,25-03-2024,10-06-2024,0,100.09,100.09,0,LHGE4109,0,,No Promotions,,,"","",-4.090000000000003,0.0,760.3199999999999,792.7128,760.3199999999999,792.7128,-4.09,0.0,,,760.3199999999999,0.0,0.0,4.7,309.1199999999999,1.6851063829787232,68.51,792.7128,322.28979999999996,40.66,,,40.66,40.66,,,8.78,-0.0,-0.0,760.3199999999999,792.7128,842.8799999999999,878.7901999999999,-100.09,NA,GREEN,0,0,1,0,0,0,Customer 4,CITRA TANAKA BRIGHT UV LOTION PUMP,300 ML
,Europe,France,Foods,Snacks,A,25-03-2024,115,7.44,,25-03-2024,10-06-2024,1,118.58,118.58,0,ISPA9006,0,,No Promotions,,,"","",-3.5799999999999983,0.0,855.6,882.2352000000001,855.6,882.2352000000001,-3.02,0.0,,,855.6,0.0,0.0,4.87,295.54999999999995,1.5277207392197127,52.77,882.2352000000001,304.7506000000001,34.54,,,34.54,34.54,,,8.24,0,0.0,855.6,882.2352000000001,947.6,977.0992,-118.58,NA,GREEN,0,0,1,0,0,0,Customer 9,BREEZE EXCEL CONCENTRATE LIQUID REFILL,750 ML
,Europe,France,Foods,Snacks,A,01-04-2024,110,5.77,,25-03-2024,10-06-2024,1,115.61,115.61,0,LHDJ4494,0,,No Promotions,,,"","",-5.609999999999999,0.0,634.6999999999999,667.0696999999999,634.6999999999999,667.0696999999999,-4.85,0.0,,,634.6999999999999,0.0,0.0,3.88,207.89999999999992,1.4871134020618555,48.71,667.0696999999999,218.5028999999999,32.76,,,32.76,32.76,,,6.07,0,0.0,634.6999999999999,667.0696999999999,667.7,701.7527,-115.61,NA,GREEN,0,0,1,0,0,0,Customer 7,CITRA PEARLY GLOW UV AURA BODY LOTION PUMP,370 ML
,Europe,France,Foods,Snacks,A,08-04-2024,118,10.35,,25-03-2024,10-06-2024,1,115.63,115.63,0,TAZP8826,0,,No Promotions,,,"","",2.3700000000000045,0.0,1221.3,1196.7704999999999,1221.3,1196.7704999999999,2.05,0.0,,,1221.3,0.0,0.0,5.2,607.6999999999999,1.9903846153846152,99.04,1196.7704999999999,595.4944999999999,49.76,,,49.76,49.76,,,11.3,0,0.0,1221.3,1196.7704999999999,1333.4,1306.6190000000001,-115.63,NA,GREEN,0,0,1,0,0,0,Customer 1,LIFEBUOY ANTIBACTERIAL TOTAL REFILL,450 ML
2024,Europe,France,Foods,Snacks,A,15-04-2024,168,6.48,B1G1,25-03-2024,10-06-2024,1,158.97,122.04,36.93,WAMG3988,14,H1,COMPLETED,1118,1118,15-04-2024,29-04-2024,45.959999999999994,36.92999999999999,1088.64,790.8192000000001,1088.64,1030.1256,37.66,30.26,42.85623797084121,41.02388408440522,1088.64,195.96,228.61,3.28,537.6000000000001,1.9756097560975612,45.73,790.8192000000001,508.70400000000006,51.55,12.047881499565046,39.500559870943064,31.38,27.19,10.752440241015897,25.165299630227782,6.86,36.93,239.30640000000002,1088.64,1030.1256,1152.48,1090.5342,-85.11000000000001,GREEN,GREEN,0,0,1,0,0,1,Customer 2,CITRA TANAKA BRIGHT UV LOTION PUMP,300 ML
,Europe,France,Foods,Snacks,A,22-04-2024,121,13.63,,25-03-2024,10-06-2024,1,118.93,118.93,0,OEQR5620,0,,No Promotions,,,"","",2.069999999999993,0.0,1649.23,1621.0159,1649.23,1621.0159,1.74,0.0,,,1649.23,0.0,0.0,9.53,496.10000000000014,1.4302203567681007,43.02,1621.0159,487.61300000000006,30.08,,,30.08,30.08,,,15.54,0,0.0,1649.23,1621.0159,1880.34,1848.1722,-118.93,NA,GREEN,0,0,1,0,0,0,Customer 4,CITRA PEARLY GLOW UV AURA BODY LOTION PUMP,370 ML
,Europe,France,Foods,Snacks,A,29-04-2024,121,12.5,,25-03-2024,10-06-2024,1,115.88,115.88,0,FPKN8057,0,,No Promotions,,,"","",5.1200000000000045,0.0,1512.5,1448.5,1512.5,1448.5,4.42,0.0,,,1512.5,0.0,0.0,7.91,555.39,1.5802781289506955,58.03,1448.5,531.8892000000001,36.72,,,36.72,36.72,,,13.17,-0.0,-0.0,1512.5,1448.5,1593.57,1526.1396,-115.88,NA,GREEN,0,0,1,0,0,0,Customer 6,CLEAR MEN TAURINE+TRIPLE ANTI DAND.TECH.DEEP CLEANSE BL PUMP,450 ML
,Europe,France,Foods,Snacks,A,06-05-2024,101,11.74,,25-03-2024,10-06-2024,1,107.9,107.9,0,HGBM0977,0,,No Promotions,,,"","",-6.900000000000006,0.0,1185.74,1266.746,1185.74,1266.746,-6.39,0.0,,,1185.74,0.0,0.0,7.48,430.26,1.56951871657754,56.95,1266.746,459.654,36.29,,,36.29,36.29,,,13.32,0,0.0,1185.74,1266.746,1345.32,1437.228,-107.9,NA,GREEN,0,0,1,0,0,0,Customer 1,BREEZE EXCEL CONCENTRATE LIQUID REFILL,750 ML
,Europe,France,Foods,Snacks,A,13-05-2024,123,8.19,,25-03-2024,10-06-2024,1,122.19,122.19,0,AJGD7605,0,,No Promotions,,,"","",0.8100000000000023,0.0,1007.3699999999999,1000.7361,1007.3699999999999,1000.7361,0.66,0.0,,,1007.3699999999999,0.0,0.0,5.03,388.67999999999984,1.6282306163021867,62.82,1000.7361,386.1203999999999,38.58,,,38.58,38.58,,,9.38,0,0.0,1007.3699999999999,1000.7361,1153.74,1146.1422,-122.19,NA,GREEN,0,0,1,0,0,0,Customer 1,DOVE NUT.SOL.MICEL.AQUA PEPTIDE FRESH NOURI.GREEN PU,450 ML
2024,Europe,France,Foods,Snacks,A,20-05-2024,189,9.19,B1G2,25-03-2024,10-06-2024,1,184.77,124.16,60.61,COWL1822,7,H1,COMPLETED,1118,1118,20-05-2024,27-05-2024,64.84,60.610000000000014,1736.9099999999999,1141.0303999999999,1736.9099999999999,1698.0363,52.22,48.82,42.85623797084121,41.02388408440522,1736.9099999999999,1181.1,364.75,6.42,523.53,1.4314641744548287,-27.46,1141.0303999999999,511.8128999999999,22.04,12.047881499565046,39.500559870943064,-37.86,8.66,10.752440241015897,25.165299630227782,10.29,60.61,557.0059,1736.9099999999999,1698.0363,1944.81,1901.2833,-63.55,AMBER,AMBER,0,1,0,0,1,0,Customer 1,COMFORT SOFTENER ULTRA FLORAL FRESH PINK CONC,540 ML
,Europe,France,Foods,Snacks,A,27-05-2024,123,5.99,,25-03-2024,10-06-2024,1,120.29,120.29,0,XLVS6912,0,,No Promotions,,,"","",2.7099999999999937,0.0,736.77,720.5371,736.77,720.5371,2.25,0.0,,,736.77,0.0,0.0,3.28,333.33,1.826219512195122,82.62,720.5371,325.9859,45.24,,,45.24,45.24,,,6.41,0,0.0,736.77,720.5371,788.4300000000001,771.0589000000001,-120.29,NA,GREEN,0,0,1,0,0,0,Customer 7,COMFORT SOFTENER ULTRA FLORAL FRESH PINK CONC,540 ML
2024,Europe,France,Foods,Snacks,A,03-06-2024,198,8.91,B1G2,25-03-2024,10-06-2024,1,188.46,124.4,64.06,CSCU3919,14,H1,COMPLETED,1118,1118,03-06-2024,17-06-2024,73.6,64.06,1764.18,1108.404,1764.18,1679.1786000000002,59.16,51.5,42.85623797084121,41.02388408440522,1764.18,264.63,158.78,4.8,813.7800000000001,1.8562500000000002,45.2,1108.404,774.5706000000001,56.41,12.047881499565046,39.500559870943064,31.13,36.67,10.752440241015897,25.165299630227782,9.9,64.06,570.7746000000001,1764.18,1679.1786000000002,1960.2,1865.7540000000001,-60.34,GREEN,GREEN,0,0,1,0,0,1,Customer 5,CLEAR MEN TECH DEEP CLEAN PUMP,400 ML
2024,Europe,France,Foods,Snacks,A,10-06-2024,181,8.6,BOGO,25-03-2024,10-06-2024,1,161.06,123.84,37.22,NALB8628,14,H1,COMPLETED,1118,1118,10-06-2024,24-06-2024,57.16,37.22,1556.6,1065.024,1556.6,1385.116,46.16,30.05,42.85623797084121,41.02388408440522,1556.6,1852.35,249.06,4.74,698.6599999999999,1.8143459915611815,-42.57,1065.024,621.6916,21.31,12.047881499565046,39.500559870943064,-74.12,26.9,10.752440241015897,25.165299630227782,9.34,-37.22,-320.092,1556.6,1385.116,1690.54,1504.3004,-86.62,RED,AMBER,0,1,0,1,0,0,Customer 8,BREEZE EXCEL SIGNATURE FLORAL BREEZE CONCENTRATED LIQUID PINK,700 ML
2024,Europe,France,Foods,Snacks,A,17-06-2024,145,9.22,B1G1,25-03-2024,10-06-2024,0,144.03,104.79,39.24,QPXI5667,7,H1,COMPLETED,1118,1118,17-06-2024,24-06-2024,40.209999999999994,39.239999999999995,1336.9,966.1638000000002,1336.9,1327.9566000000002,38.37,37.45,42.85623797084121,41.02388408440522,1336.9,173.8,93.58,5.3,568.4000000000001,1.7396226415094345,41.88,966.1638000000002,564.5976000000003,49.53,12.047881499565046,39.500559870943064,29.52,35.47,10.752440241015897,25.165299630227782,10.15,39.24,361.79280000000006,1336.9,1327.9566000000002,1471.75,1461.9045,-65.55000000000001,GREEN,GREEN,0,0,1,0,0,1,Customer 9,DOVE INTENSE REPAIR DARK BLUE PUMP,425 ML
,Europe,France,Foods,Snacks,A,24-06-2024,97,13.86,,25-03-2024,10-06-2024,0,101.02,101.02,0,VXMQ1402,0,,No Promotions,,,"","",-4.019999999999996,0.0,1344.4199999999998,1400.1372,1344.4199999999998,1400.1372,-3.98,0.0,,,1344.4199999999998,0.0,0.0,8.45,524.7699999999999,1.6402366863905327,64.02,1400.1372,546.5182,39.03,,,39.03,39.03,,,14.9,0,0.0,1344.4199999999998,1400.1372,1445.3,1505.1979999999999,-101.02,NA,GREEN,0,0,1,0,0,0,Customer 4,DOVE ULTRA CARE INTENSE REPAIR DARK BLUE PUMP,380 ML
,Europe,France,Foods,Snacks,A,01-07-2024,103,8.11,,25-03-2024,10-06-2024,0,103.88,103.88,0,EJZB9427,0,,No Promotions,,,"","",-0.8799999999999955,0.0,835.3299999999999,842.4667999999999,835.3299999999999,842.4667999999999,-0.85,0.0,,,835.3299999999999,0.0,0.0,4.68,353.28999999999996,1.7329059829059827,73.29,842.4667999999999,356.30839999999995,42.29,,,42.29,42.29,,,9.08,0,0.0,835.3299999999999,842.4667999999999,935.24,943.2303999999999,-103.88,NA,GREEN,0,0,1,0,0,0,Customer 4,DOVE ULTRA CARE INTENSE REPAIR DARK BLUE PUMP,380 ML
,Europe,France,Foods,Snacks,A,08-07-2024,89,11.16,,25-03-2024,10-06-2024,0,92.064,92.064,0,RYUJ8502,0,,No Promotions,,,"","",-3.063999999999993,0.0,993.24,1027.43424,993.24,1027.43424,-3.33,0.0,,,993.24,0.0,0.0,7.11,360.44999999999993,1.569620253164557,56.96,1027.43424,372.8592000000001,36.29,,,36.29,36.29,,,11.78,0,0.0,993.24,1027.43424,1048.4199999999998,1084.5139199999999,-92.064,NA,GREEN,0,0,1,0,0,0,Customer 10,DOVE ULTRA CARE INTENSE REPAIR DARK BLUE PUMP,380 ML
,Europe,France,Foods,Snacks,A,15-07-2024,105,14.96,,25-03-2024,10-06-2024,0,103.11,103.11,0,AVJH6561,0,,No Promotions,,,"","",1.8900000000000006,0.0,1570.8000000000002,1542.5256000000002,1570.8000000000002,1542.5256000000002,1.83,0.0,,,1570.8000000000002,0.0,0.0,8.22,707.7000000000002,1.8199513381995136,82.0,1542.5256000000002,694.9614000000001,45.05,,,45.05,45.05,,,16.24,-0.0,-0.0,1570.8000000000002,1542.5256000000002,1705.1999999999998,1674.5063999999998,-103.11,NA,GREEN,0,0,1,0,0,0,Customer 5,BREEZE EXCEL CONCENTRATE LIQUID REFILL,750 ML
,Europe,France,Foods,Snacks,A,22-07-2024,104,5.89,,25-03-2024,10-06-2024,0,100.7278333,100.7278333,0,IETO5707,0,,No Promotions,,,"","",3.2721666999999997,0.0,612.56,593.286938137,612.56,593.286938137,3.25,0.0,,,612.56,0.0,0.0,3.58,240.23999999999995,1.6452513966480447,64.53,593.286938137,232.681294923,39.22,,,39.22,39.22,,,6.52,0,0.0,612.56,593.286938137,678.0799999999999,656.745473116,-100.7278333,NA,GREEN,0,0,1,0,0,0,Customer 7,DOVE MICELLAR VOLUME NOURISHMENT BLUE PUMP,430 ML
,Europe,France,Foods,Snacks,A,29-07-2024,106,10.87,,25-03-2024,10-06-2024,0,101.741,101.741,0,GFRK7516,0,,No Promotions,,,"","",4.259,0.0,1152.22,1105.9246699999999,1152.22,1105.9246699999999,4.19,0.0,,,1152.22,0.0,0.0,7.67,339.20000000000005,1.4172099087353323,41.72,1105.9246699999999,325.57119999999986,29.44,,,29.44,29.44,,,12.45,0,0.0,1152.22,1105.9246699999999,1319.6999999999998,1266.67545,-101.741,NA,GREEN,0,0,1,0,0,0,Customer 4,DOVE INTENSE REPAIR DARK BLUE PUMP,425 ML
,Europe,France,Foods,Snacks,A,05-08-2024,99,13.8,,25-03-2024,10-06-2024,0,102.42,102.42,0,JILG2966,0,,No Promotions,,,"","",-3.4200000000000017,0.0,1366.2,1413.3960000000002,1366.2,1413.3960000000002,-3.34,0.0,,,1366.2,0.0,0.0,7.42,631.62,1.8598382749326148,85.98,1413.3960000000002,653.4396000000002,46.23,,,46.23,46.23,,,14.52,0,0.0,1366.2,1413.3960000000002,1437.48,1487.1384,-102.42,NA,GREEN,0,0,1,0,0,0,Customer 6,CITRA EXTRA BRIGHT UV SPF20 LOTION ML BOT,130 ML
,Europe,France,Foods,Snacks,A,12-08-2024,98,10.94,,25-03-2024,10-06-2024,0,99.581,99.581,0,LDWI4191,0,,No Promotions,,,"","",-1.581000000000003,0.0,1072.12,1089.41614,1072.12,1089.41614,-1.59,0.0,,,1072.12,0.0,0.0,5.69,514.4999999999999,1.922671353251318,92.27,1089.41614,522.80025,47.99,,,47.99,47.99,,,11.5,0,0.0,1072.12,1089.41614,1127.0,1145.1815000000001,-99.581,NA,GREEN,0,0,1,0,0,0,Customer 10,DOVE STRAIGHT & SILKY CONDITIONER,410 ML
2024,Europe,France,Foods,Snacks,A,19-08-2024,134,5.89,BOGO,25-03-2024,10-06-2024,0,137.8966667,100.7278333,37.16883333,DGRW0699,14,H2,COMPLETED,1118,1118,19-08-2024,02-09-2024,33.2721667,37.1688334,789.26,593.286938137,789.26,812.211366863,33.03,36.9,42.85623797084121,41.02388408440522,789.26,142.07,86.82,3.76,285.42,1.5664893617021276,22.19,593.286938137,293.719900071,39.94,12.047881499565046,39.500559870943064,18.16,25.47,10.752440241015897,25.165299630227782,6.43,37.16883333,218.9244283137,789.26,812.211366863,861.62,886.6755668809999,-63.55899997,GREEN,GREEN,0,0,1,0,0,1,Customer 10,DOVE MICELLAR VOLUME NOURISHMENT BLUE PUMP,430 ML
,Europe,France,Foods,Snacks,A,26-08-2024,103,10.45,,25-03-2024,10-06-2024,0,100.53,100.53,0,OFMK4553,0,,No Promotions,,,"","",2.469999999999999,0.0,1076.35,1050.5384999999999,1076.35,1050.5384999999999,2.46,0.0,,,1076.35,0.0,0.0,7.01,354.31999999999994,1.4907275320970041,49.07,1050.5384999999999,345.82319999999993,32.92,,,32.92,32.92,,,11.2,0,0.0,1076.35,1050.5384999999999,1153.6,1125.936,-100.53,NA,GREEN,0,0,1,0,0,0,Customer 3,CITRA PEARLY BRIGHT UV BODY LOTION PUMP,300 ML
,Europe,France,Foods,Snacks,A,02-09-2024,97,9.78,,25-03-2024,10-06-2024,0,97.58,97.58,0,SBEE7781,0,,No Promotions,,,"","",-0.5799999999999983,0.0,948.66,954.3323999999999,948.66,954.3323999999999,-0.59,0.0,,,948.66,0.0,0.0,6.33,334.65,1.5450236966824644,54.5,954.3323999999999,336.65099999999995,35.28,,,35.28,35.28,,,10.64,0,0.0,948.66,954.3323999999999,1032.0800000000002,1038.2512,-97.58,NA,GREEN,0,0,1,0,0,0,Customer 7,BREEZE EXCEL CONCENTRATE LIQUID REFILL,750 ML
2024,Europe,France,Foods,Snacks,A,09-09-2024,121,13.38,10% Off,25-03-2024,10-06-2024,0,119.2,101.72,17.48,SJXT1876,14,H2,COMPLETED,1118,1118,09-09-2024,23-09-2024,19.28,17.480000000000004,1618.98,1361.0136,1618.98,1594.8960000000002,18.95,17.18,42.85623797084121,41.02388408440522,1618.98,291.42,259.04,8.33,611.05,1.6062424969987996,24.6,1361.0136,601.9600000000002,36.43,12.047881499565046,39.500559870943064,19.74,21.5,10.752440241015897,25.165299630227782,14.47,17.48,233.88240000000002,1618.98,1594.8960000000002,1750.8700000000001,1724.824,-84.24,GREEN,GREEN,0,0,1,0,0,1,Customer 10,CITRA PEARLY BRIGHT UV BODY LOTION PUMP,300 ML
,Europe,France,Foods,Snacks,A,16-09-2024,106,14.55,,25-03-2024,10-06-2024,0,102.75,102.75,0,THLD7845,0,,No Promotions,,,"","",3.25,0.0,1542.3000000000002,1495.0125,1542.3000000000002,1495.0125,3.16,0.0,,,1542.3000000000002,0.0,0.0,7.95,699.6000000000001,1.8301886792452828,83.02,1495.0125,678.15,45.36,,,45.36,45.36,,,16.57,-0.0,-0.0,1542.3000000000002,1495.0125,1756.42,1702.5675,-102.75,NA,GREEN,0,0,1,0,0,0,Customer 5,BREEZE BABY PINK BLOOM REFILL,550 ML
,Europe,France,Foods,Snacks,A,23-09-2024,99,7.35,,25-03-2024,10-06-2024,0,99.18,99.18,0,UPQY3720,0,,No Promotions,,,"","",-0.18000000000000682,0.0,727.65,728.9730000000001,727.65,728.9730000000001,-0.18,0.0,,,727.65,0.0,0.0,4.68,264.33,1.5705128205128207,57.05,728.9730000000001,264.8106000000001,36.33,,,36.33,36.33,,,8.05,0,0.0,727.65,728.9730000000001,796.95,798.3990000000001,-99.18,NA,GREEN,0,0,1,0,0,0,Customer 7,CLEAR MEN TECH DEEP CLEAN PUMP,400 ML
,Europe,France,Foods,Snacks,A,30-09-2024,100,9.93,,25-03-2024,10-06-2024,0,99.49,99.49,0,XWHS2700,0,,No Promotions,,,"","",0.5100000000000051,0.0,993.0,987.9356999999999,993.0,987.9356999999999,0.51,0.0,,,993.0,0.0,0.0,5.11,481.99999999999994,1.9432485322896278,94.32,987.9356999999999,479.54179999999985,48.54,,,48.54,48.54,,,11.1,-0.0,-0.0,993.0,987.9356999999999,1110.0,1104.339,-99.49,NA,GREEN,0,0,1,0,0,0,Customer 2,CLEAR MEN TAURINE+TRIPLE ANTI DAND.TECH.DEEP CLEANSE BL PUMP,450 ML
